rsi,slowk,slowd,willr,macd,macdsignal,macdhist,aroon_up,aroon_down,chaikin,ultosc,returns,target
58.99404764342615,53.443635244910745,63.92771303211845,-25.68919248597722,6.8416277678188635,6.621040068557529,0.22058769926133426,35.714285714285715,71.42857142857143,-16.223748309232178,51.38107580886426,-0.0001581080775853172,1.0
62.6350543572094,54.758178584975745,58.5858020537747,-12.940630797769574,7.356281661966932,6.76808838723941,0.588193274727522,28.571428571428573,100.0,-37.82400164102455,50.89305453206444,0.00041010337153646326,0.0
60.89156617427436,47.595258698242596,51.93235750937651,-17.85714285713653,7.506551446131198,6.915780999017768,0.5907704471134299,21.42857142857143,92.85714285714286,-112.06972638850402,45.07342729647587,-0.00012274897487229985,1.0
62.47285835175077,61.559099694420205,54.63751232587966,-10.946196660476897,7.776460234908882,7.0879168461959905,0.6885433887128913,14.285714285714286,85.71428571428572,-28.978729868586015,47.059596846331644,0.0001725645524612851,0.0
59.301419846040595,52.95797457155493,54.03744432140605,-19.43413729127453,7.607340793238109,7.191801635604414,0.4155391576336944,7.142857142857143,78.57142857142857,-119.18671595855358,45.13961195020704,-0.00021190513134639044,0.0
58.42006274332271,46.366201721856264,53.62775866261061,-23.24257425742556,7.307576663235523,7.214956641130636,0.09262002210488696,0.0,71.42857142857143,-263.0983116030011,45.59288651821743,-5.8488946747425885e-05,1.0
60.041138094299264,40.24309916367994,46.52242515236386,-17.41697416973798,7.193658023908938,7.210696917686296,-0.017038893777358233,7.142857142857143,100.0,-293.77759883694034,44.94824863004591,0.00014825788300498743,1.0
62.501175633157715,53.27727821727813,46.62885970093826,-9.021675454007502,7.341514838979492,7.2368605019449355,0.10465433703455673,0.0,92.85714285714286,-186.66523926401987,49.567294475434416,0.000231618602911432,0.0
51.73869234952269,43.955350621845675,45.825242667601394,-63.63869643314994,6.37255348510007,7.063999098575962,-0.6914456134758922,0.0,100.0,-397.69210240584925,36.163488939870575,-0.0007265350875923504,0.0
49.41667274667523,32.34710361659857,43.1932441519076,-83.92321535692693,5.287098823398992,6.708619043540568,-1.4215202201415762,0.0,92.85714285714286,-495.3014242158433,35.450294701853394,-0.0001842279977892769,0.0
45.95900089088566,6.543429399981921,27.61529454614219,-98.77024595081028,3.9815477485790325,6.163204784548261,-2.181657035969229,92.85714285714286,85.71428571428572,-653.8516634097341,30.963366100903983,-0.0002868228373558157,1.0
51.416965981039155,14.817415758366915,17.90264959164927,-72.8542914171642,3.5020242825667083,5.63096868415195,-2.128944401585242,100.0,78.57142857142857,-536.5789499596967,37.05196220272094,0.0004277494640090307,0.0
46.73970653282075,12.053297923250353,11.138047693866532,-92.21556886227664,2.5447677290540014,5.01372849313236,-2.468960764078359,92.85714285714286,71.42857142857143,-558.6794003450887,37.09923175337554,-0.0003933844211658766,0.0
46.21297305197342,15.889385597374124,14.2533664263306,-94.46820644425804,1.70276025574276,4.35153484565444,-2.64877458991168,85.71428571428572,64.28571428571429,-630.5206479140729,32.79795974572824,-4.5787333484814674e-05,0.0
46.149165967448425,19.283423966911162,15.742035829178684,-85.97308488613267,1.0164836284384364,3.6845246022112392,-2.668040973772803,100.0,57.142857142857146,-466.5767850374468,33.830671607749,-5.216517348749505e-06,0.0
45.86124281920993,28.25886152154764,21.143890361944447,-86.95652173913739,0.43690526085265446,3.035000733939522,-2.5980954730868677,92.85714285714286,50.0,-451.25820955199106,38.868964979699214,-2.2025410368220477e-05,1.0
46.26032117061993,36.802736365108565,28.115007284522594,-85.86956521739334,0.011344941398419905,2.4302695754313017,-2.418924634032882,85.71428571428572,42.85714285714286,-426.2056259468827,39.395152337711046,2.4344410813226247e-05,0.0
36.010075315100025,33.87144365326371,32.97768051330678,-84.7207586933662,-1.5235680717523792,1.6395020459945655,-3.163070117746945,100.0,35.714285714285715,-473.17309640392523,40.09724458917919,-0.0008728997660675253,0.0
33.74315187383951,27.589942310159987,32.75470744284423,-92.1671935370579,-3.0470062664207944,0.7022003835114934,-3.7492066499322876,92.85714285714286,28.571428571428573,-622.6004307473568,33.606297059742744,-0.0002459713489787463,1.0
38.01481340323187,27.404563383794635,29.62198311573958,-80.3771066243979,-3.8620418176142266,-0.2106480567136506,-3.651393760900576,100.0,21.42857142857143,-378.7135743696922,43.07227810397961,0.00025009371260908964,0.0
34.20211437499948,23.323518590053727,26.106008094669587,-91.92391122976785,-5.008613354104455,-1.1702411161918116,-3.838372237912643,92.85714285714286,14.285714285714286,-301.98576915890544,43.75212388060953,-0.0004014421752132069,1.0
42.02096592806894,34.74482530286216,28.49096909223698,-77.50709160687552,-5.1606154028741,-1.9683159735282694,-3.192299429345831,85.71428571428572,7.142857142857143,-79.70628419774857,46.41805254750055,0.000501423892964592,0.0
39.13974629421656,35.68696489221554,31.25176959504395,-78.77276128710808,-5.617362131648406,-2.698125205152297,-2.919236926496109,78.57142857142857,0.0,-32.31285744576007,47.610070416951196,-0.0002882902531792242,0.0
37.41643881412637,38.86860153662845,36.433463910568854,-84.89248813180772,-6.158490057252493,-3.390198175572336,-2.768291881680157,71.42857142857143,0.0,-152.751902847589,43.92613235174402,-0.00017987072516900682,0.0
35.07717675558281,32.3019550186363,35.619173815826905,-79.98159226875248,-6.860074727654137,-4.084173485988696,-2.7759012416654407,100.0,7.142857142857143,-146.4481634278236,47.50974856535839,-0.0002530249833154752,0.0
33.529048156360986,25.412653217629423,32.19440325763153,-86.77322214500228,-7.570090355719003,-4.781356859934758,-2.7887334957842453,92.85714285714286,0.0,-95.96317332763965,49.45731110785038,-0.00017356334249318817,1.0
