,selected_model,mean_accuracy
61,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=5,
              n_estimators=25, random_state=32, subsample=0.8,
              use_label_encoder=False)",0.5267326732673266
62,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=5,
              n_estimators=25, random_state=72, subsample=0.8,
              use_label_encoder=False)",0.5
63,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=5, n_estimators=25,
              random_state=93, subsample=0.8, use_label_encoder=False)",0.5247524752475249
64,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=5,
              n_estimators=25, random_state=52, subsample=0.8,
              use_label_encoder=False)",0.5316831683168317
65,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=5,
              n_estimators=50, random_state=73, subsample=0.8,
              use_label_encoder=False)",0.516831683168317
66,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=5,
              n_estimators=50, random_state=36, subsample=0.8,
              use_label_encoder=False)",0.5336633663366337
67,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=5,
              n_estimators=50, random_state=86, subsample=0.8,
              use_label_encoder=False)",0.510891089108911
68,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=5, n_estimators=50,
              random_state=15, subsample=0.8, use_label_encoder=False)",0.5138613861386139
69,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=5,
              n_estimators=50, random_state=27, subsample=0.8,
              use_label_encoder=False)",0.516831683168317
70,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=5,
              random_state=8, subsample=0.8, use_label_encoder=False)",0.5247524752475247
71,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=5,
              random_state=45, subsample=0.8, use_label_encoder=False)",0.5277227722772277
72,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=5,
              random_state=1, subsample=0.8, use_label_encoder=False)",0.5247524752475248
73,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=5, random_state=73,
              subsample=0.8, use_label_encoder=False)",0.5138613861386139
74,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=5,
              random_state=85, subsample=0.8, use_label_encoder=False)",0.5247524752475248
75,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=5,
              n_estimators=150, random_state=31, subsample=0.8,
              use_label_encoder=False)",0.5415841584158416
76,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=5,
              n_estimators=150, random_state=52, subsample=0.8,
              use_label_encoder=False)",0.517821782178218
77,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=5,
              n_estimators=150, random_state=69, subsample=0.8,
              use_label_encoder=False)",0.50990099009901
78,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=5, n_estimators=150,
              random_state=10, subsample=0.8, use_label_encoder=False)",0.5297029702970297
79,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=5,
              n_estimators=150, random_state=86, subsample=0.8,
              use_label_encoder=False)",0.5118811881188119
80,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=6,
              n_estimators=25, random_state=65, subsample=0.8,
              use_label_encoder=False)",0.5405940594059407
81,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=6,
              n_estimators=25, random_state=2, subsample=0.8,
              use_label_encoder=False)",0.5366336633663366
82,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=6,
              n_estimators=25, random_state=11, subsample=0.8,
              use_label_encoder=False)",0.5277227722772277
83,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=6, n_estimators=25,
              random_state=51, subsample=0.8, use_label_encoder=False)",0.512871287128713
84,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=6,
              n_estimators=25, random_state=89, subsample=0.8,
              use_label_encoder=False)",0.5346534653465348
85,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=6,
              n_estimators=50, random_state=67, subsample=0.8,
              use_label_encoder=False)",0.5267326732673269
86,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=6,
              n_estimators=50, random_state=2, subsample=0.8,
              use_label_encoder=False)",0.5336633663366337
87,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.05, max_depth=6,
              n_estimators=50, random_state=91, subsample=0.8,
              use_label_encoder=False)",0.5257425742574258
88,"XGBClassifier(eval_metric='auc', gamma=0.5, max_depth=6, n_estimators=50,
              random_state=35, subsample=0.8, use_label_encoder=False)",0.5188118811881188
89,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.2, max_depth=6,
              n_estimators=50, random_state=33, subsample=0.8,
              use_label_encoder=False)",0.5188118811881188
90,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.01, max_depth=6,
              random_state=34, subsample=0.8, use_label_encoder=False)",0.5376237623762377
91,"XGBClassifier(eval_metric='auc', gamma=0.5, learning_rate=0.02, max_depth=6,
              random_state=94, subsample=0.8, use_label_encoder=False)",0.517821782178218
